Beats: ('VEHICLE NON-COMMERCIAL', 'SCHOOL - PUBLIC BUILDING'), Correlation: 1.0
Beats: ('0414', '2521'), Correlation: 0.9991412532583918
Beats: ('0212', '1934'), Correlation: 0.9991402439650352
Beats: ('0715', '1933'), Correlation: 0.9991397346812843
Beats: ('1821', '1235'), Correlation: 0.9991315064206775
Beats: ('0414', '1014'), Correlation: 0.9991306108046244
Beats: ('2532', '1212'), Correlation: 0.9991287250492329
Beats: ('0414', '0914'), Correlation: 0.9991283375420088
Beats: ('0631', '1925'), Correlation: 0.9991269109131333
Beats: ('0915', '0215'), Correlation: 0.9991257704664599
Beats: ('0834', '0215'), Correlation: 0.9991245401524425
Beats: ('0914', '0311'), Correlation: 0.9991194517218894
Beats: ('2532', '1225'), Correlation: 0.9991163047220669
Beats: ('0723', '1433'), Correlation: 0.9991082259457602
Beats: ('0822', '1932'), Correlation: 0.9991048128642416
Beats: ('0631', '1112'), Correlation: 0.9990965964963978
Beats: ('1433', '0311'), Correlation: 0.9990937250100956
Beats: ('2532', '0932'), Correlation: 0.9990927130339166
Beats: ('0834', '2521'), Correlation: 0.9990922755586608
Beats: ('0212', '0725'), Correlation: 0.9990921946922616
Beats: ('0915', '2521'), Correlation: 0.9990910219159914
Beats: ('1821', '1833'), Correlation: 0.9990895988622647
Beats: ('0212', '0913'), Correlation: 0.9990848176569833
Beats: ('0822', '2424'), Correlation: 0.9990843062179308
Beats: ('0212', '0225'), Correlation: 0.9990823770216593
Beats: ('0723', '0914'), Correlation: 0.9990823370139013
Beats: ('1433', '1651'), Correlation: 0.9990811654964882
Beats: ('0414', '0215'), Correlation: 0.9990750949314892
Beats: ('1821', '1034'), Correlation: 0.9990674018426483
Beats: ('1231', '0832'), Correlation: 0.9990646521004006
Beats: ('0915', '1221'), Correlation: 0.9990600389276945
Beats: ('0834', '1221'), Correlation: 0.9990587632364092
Beats: ('0915', '2534'), Correlation: 0.9990557319449376
Beats: ('0914', '1651'), Correlation: 0.9990548896760372
Beats: ('0834', '2534'), Correlation: 0.999054453336697
Beats: ('1614', '1831'), Correlation: 0.9990460315220556
Beats: ('1231', '1821'), Correlation: 0.999041248318117
Beats: ('1231', '2212'), Correlation: 0.9990402023869938
